"global_subfield_id","task_id","field_slug","field_label","priority","evidence_strength","field_status","textual_support_candidates","boundary_audit_clusters","boundary_risks","textual_support","residual_cluster_notes","field_worker_notes","verification_status"
"GSF-01","FIELD-LLM-SERVING-001","llm_serving_attention_kv_quantization","LLM serving state; KV/cache; attention; token-memory bottlenecks","P0","strong; frontier-heavy","formal_field","SF01:medium:TC02/TC07/TC08/TC26;SF07:medium:TC46 weak attention/HLS signal","SF11:boundary_audit_only;SF14:boundary_audit_only;SF98:boundary_audit_only","Text clusters mix LLM inference with generic DNN accelerators; attention/HLS signals do not prove a separate field; 2025-2026 frontier evidence still needs artifact/adoption audit.","partial_textual_support","Use SF01 as an independent check for inference/accelerator vocabulary. Treat SF11 and SF98 LLM-looking rows as mixed residuals because they sit inside analog/RF/CMOS or cross-domain clusters. SF14 is boundary only and should not seed an LLM field.","Start from cross-venue inventory row GSF-01. Use textual clustering only to audit missing LLM inference/attention/KV rows and possible internal splits among serving state; attention kernels; quantization/runtime.","verified_from_control_inputs"
"GSF-02","FIELD-NEURAL-RENDERING-001","neural_rendering_3dgs_slam","Neural rendering; NeRF; 3DGS; scene-reconstruction pipeline bottlenecks","P0","strong emerging cross-venue candidate","formal_field","none_clean;SF01:medium weak accelerator substrate signal only","SF11:boundary_audit_only;SF14:boundary_audit_only;SF98:boundary_audit_only","Textual clustering does not form a clean neural rendering candidate; image sensor, LiDAR, 3DIC, and general vision rows can create false positives; direct 3DGS evidence is recent.","weak_textual_support","Residual SF11/SF98 contain occasional neural rendering or image/3D titles but are low-confidence mixed clusters. They should be used for boundary audit and false-negative search, not for opening a separate graphics/vision/circuit field.","Field worker should distinguish neural rendering/3DGS/SLAM pipeline bottlenecks from CMOS image sensors, RF/LiDAR circuits, and generic 3D integration. Pull representative evidence from second-wave matrices, not textual residuals.","verified_from_control_inputs"
"GSF-03","FIELD-CIM-PIM-001","cim_pim_near_memory_ai","CIM/PIM/near-memory execution for memory-wall workloads","P0","strong","formal_field","SF01:medium:TC02 compute-in-memory accelerator signal;SF04:medium:TC12 memory/cache/sparse signal","SF11:boundary_audit_only;SF14:boundary_audit_only;SF98:boundary_audit_only","CIM/PIM text terms are interleaved with analog macros, device circuits, RF/ADC rows, and generic memory hierarchy rows; analog/digital CIM, DRAM/HBM PIM, and CXL/NDP remain split candidates.","supported_by_textual_cluster","SF11 contains many circuit/device rows and some PIM/CIM-looking representative titles; keep it boundary_audit_only. SF98 contains mixed simulation/graph/hybrid titles that may include near-data processing false negatives.","Use SF01 and SF04 as sanity checks for CIM/PIM and memory-wall terminology, but keep official field boundary from GSF-03. Do not promote analog/RF/ADC bulk clusters into this field without second-wave evidence.","verified_from_control_inputs"
"GSF-04","FIELD-HLS-COMPILER-001","fpga_hls_compiler_closure","HLS; compiler; autotuning; hardware-generation closure","P0","strong","formal_field","SF06:medium:TC39 closure/placement/routing signal;SF07:medium:TC46 HLS/FPGA signal;SF01:medium weak tensor/dataflow signal","SF11:boundary_audit_only;SF14:boundary_audit_only;SF98:boundary_audit_only","Text clusters mix HLS, synthesis, design-space exploration, physical closure, approximation, and FPGA deployment; tool availability and generated code do not prove adoption or reproducibility.","supported_by_textual_cluster","SF98 has synthesis/exploration/compiler-like residual clusters and should be audited for missed tool papers. SF11 includes AMS generator/design rows but stays boundary_audit_only unless tied to accelerator closure evidence.","Field worker should use SF06/SF07 to audit HLS/compiler/closure coverage and watch for internal split between HLS/DSE, tensor compiler/codegen, hardware generators, and LLM-assisted RTL/verification.","verified_from_control_inputs"
"GSF-05","FIELD-PHYSICAL-PPA-001","physical_ppa_chiplet_package_closure","Physical/PPA; routing; timing; chiplet; 3DIC; package closure","P1","moderate-strong","formal_field","SF06:medium:TC39 placement/routing/embedded signal","SF11:boundary_audit_only;SF14:boundary_audit_only;SF98:boundary_audit_only","Physical and package terms overlap with analog/RF circuits, 3D integration, NoC, memory macros, and general EDA closure; 3DIC/package must not be confused with 3D scene reconstruction.","supported_by_textual_cluster","SF11 and SF98 contain chip/package/interconnect-looking titles but are mixed low-confidence groups. They are boundary audit material only and cannot become a separate RF/ADC/analog field in third wave.","Field worker should keep workload-agnostic physical closure separate from neural rendering 3D and from datacenter fabric. Use SF06 as an audit hook for placement/routing/timing/PPA rows.","verified_from_control_inputs"
"GSF-06","FIELD-LOWPREC-SPARSE-001","low_precision_sparse_approximate_execution","Low-precision; sparsity; LUT/native arithmetic; approximate neural execution","P0","strong","formal_field","SF01:medium:TC02/TC08/TC26 quantized/approximate/neuromorphic signals;SF07:medium:TC46 approximate/HLS signal;SF04:medium weak sparse matrix signal","SF11:boundary_audit_only;SF14:boundary_audit_only;SF98:boundary_audit_only","Textual support mixes quantization, sparsity, approximation, neuromorphic/spiking, security attacks, and generic accelerator rows; precision/quality metrics cannot be transferred across workloads.","supported_by_textual_cluster","SF14 neuromorphic/spiking rows are boundary_audit_only and may indicate adjacent evidence, not an independent low-precision field. SF11/SF98 may contain approximate circuit or sparse titles that need manual triage.","Field worker should separate low precision, sparsity, LUT/native arithmetic, approximate execution, and neuromorphic boundary rows. Use textual candidates for split-risk audit only.","verified_from_control_inputs"
"GSF-07","FIELD-IRREGULAR-SPARSE-001","irregular_graph_sparse_tensor_mapping","Irregular graph; sparse tensor; point-cloud; data-dependent workload mapping","P1","moderate-strong","formal_field","SF04:medium:TC12 sparse/matrix/cache signal;SF01:medium weak graph/accelerator terms","SF11:boundary_audit_only;SF14:boundary_audit_only;SF98:boundary_audit_only","Graph, sparse tensor, sparse linear algebra, point cloud, MoE-like routing, and general cache/matrix terms remain mixed; text clustering may hide several internal splits.","partial_textual_support","SF98 contains graph/hybrid/simulation residual clusters and should be audited for false negatives. SF11 contains circuit/sensor rows with occasional graph/NoC terms and stays boundary_audit_only.","Field worker should test split candidates among graph/GNN, scientific sparse linear algebra, point-cloud/3D sparse workloads, and MoE-like irregularity using paper evidence matrices rather than cluster labels alone.","verified_from_control_inputs"
"GSF-08","FIELD-EVAL-INFRA-001","benchmark_profiling_evaluation","Benchmark; profiling; simulator; artifact; evidence-validity infrastructure","P0","strong as methodology","formal_field","none_clean;SF06:medium weak verification/closure signal","SF11:boundary_audit_only;SF14:boundary_audit_only;SF98:boundary_audit_only","Textual clustering does not isolate benchmark/profiling/artifact infrastructure; simulator and verification terms are scattered across mixed clusters. Tool availability must not be read as adoption or reproducibility.","weak_textual_support","SF98 is the main residual audit pool for simulator/profiling/benchmark false negatives. SF11/SF14 should only flag boundary methodology rows embedded in circuits/biomedical/neuromorphic clusters.","Field worker should treat this as cross-cutting evaluation infrastructure. Do not convert every simulator/tool title into a field representative without second-wave claim/evidence linkage.","verified_from_control_inputs"
"GSF-09","FIELD-EDGE-ROBOTICS-001","robot_embodied_edge_compute","Edge robotics; sensor-near vision; SLAM; embodied low-latency perception","P0","moderate-strong","formal_field","SF01:medium weak edge/inference accelerator substrate","SF11:boundary_audit_only;SF14:boundary_audit_only;SF98:boundary_audit_only","Text clusters often capture sensors, image processors, autonomous vehicle/security, and neuromorphic rows rather than full embodied low-latency compute; direct robotics-policy/VLA evidence remains new.","weak_textual_support","SF11 contains sensor/image/RF rows and SF14 contains biomedical/neuromorphic/autonomous boundary rows. Both are boundary_audit_only. SF98 may contain edge/scheduling residuals but not a formal robotics field.","Field worker should separate sensor-near substrate, SLAM/vision pipelines, embodied edge inference, and newer VLA/robot-policy rows. Use textual clusters to find boundary false positives around sensors and neuromorphic systems.","verified_from_control_inputs"
"GSF-10","FIELD-DATACENTER-FABRIC-001","datacenter_accelerator_fabric_orchestration","Distributed training; accelerator orchestration; collectives; datacenter fabric bottlenecks","P1","moderate-strong","formal_field","SF07:medium weak cloud FPGA/reconfigurable signal;SF04:medium weak interconnect/cache signal","SF11:boundary_audit_only;SF14:boundary_audit_only;SF98:boundary_audit_only","Datacenter fabric and orchestration signals are diluted across systems, cloud FPGA, NoC, cache, storage, and vendor disclosure rows; circuit/EDA venues provide weak direct support.","partial_textual_support","SF98 is a residual audit source for distributed training/fabric/orchestration terms. SF11 may include optical/NoC/transceiver rows but stays boundary_audit_only unless tied to accelerator fabric bottlenecks by second-wave evidence.","Field worker should keep datacenter collectives/orchestration separate from memory capacity/CXL and physical interconnect/package closure. Textual signals are audit hints, not field boundaries.","verified_from_control_inputs"
"GSF-11","FIELD-MEMORY-CAPACITY-001","memory_capacity_cxl_storage_noc","Memory capacity; CXL/far-memory; storage; I/O; NoC; data-movement bottlenecks","P1","strong","formal_field","SF04:medium:TC12 memory/cache/sparse signal;SF06:medium weak embedded/management signal","SF11:boundary_audit_only;SF14:boundary_audit_only;SF98:boundary_audit_only","Memory capacity, CXL/far memory, storage/I/O, NoC, HBM/package, and PIM/CIM overlap strongly. SF04 supports memory/cache vocabulary but does not settle the split from GSF-03 or GSF-10.","supported_by_textual_cluster","SF11 contains NoC/transceiver/memory macro circuit material and remains boundary_audit_only. SF98 contains storage/SSD/graph/hybrid residual titles that can reveal false negatives but not a new field.","Field worker should audit splits among CXL/far memory, storage/I/O, NoC/data movement, and package/HBM, while keeping PIM/CIM and datacenter fabric cross-links explicit.","verified_from_control_inputs"
"GSF-12","FIELD-SECURITY-RELIABILITY-001","accelerator_security_correctness_reliability","Security; correctness; reliability; verification constraints for accelerated systems","P2","moderate","formal_field","SF09:low:TC57/TC59 security/reliability/privacy/fault-tolerance signal;SF06:medium weak verification/closure signal","SF11:boundary_audit_only;SF14:boundary_audit_only;SF98:boundary_audit_only","Textual support is low-confidence and mixes security primitives, side-channel, homomorphic encryption, flash, verification, reliability, and boundary constraints; often not a primary accelerator-performance lineage.","partial_textual_support","SF14 can flag boundary topics such as autonomous trust or neuromorphic/biomedical reliability but remains boundary_audit_only. SF98 contains mixed protection/correctness residuals and should be audited manually.","Field worker should treat security/correctness/reliability as constraints around accelerated systems. Do not infer a mature performance lineage from SF09 alone; use second-wave claim ledgers for formal evidence.","verified_from_control_inputs"
